PO,Nº PO,Data documento,Data Contabilistica,Classificador economico ,(R)eceita/(D)espesa,Classificador funcional ,Fonte de financiamento ,Programa ,Medida,Projeto,Regionalização,Atividade,Natureza,Departamento/Atividade,Valor ,Observaçoes lançamento,Classificação Orgânica
PO,0,20170101,20171231,02.02.23,D,,311,,,,,,,1,339470,Bombeiros,121030100
PO,0,20170101,20171231,02.02.23,D,,311,,,,,,,1,631586,Bombeiros,121030100
PO,0,20170101,20171231,02.02.25,D,,311,,,,,,,1,1767441,Royalties,121030100
PO,0,20170101,20171231,04.08.02.A0.00,D,,311,,,,,,,1,925000,Subsidios de Refeição,121030100
PO,0,20170101,20171231,06.02.01,D,,311,,,,,,,1,22600,Impostos e taxas,121030100
PO,0,20170101,20171231,06.02.03.00.00,D,,311,,,,,,,1,9625,Quotizações,121030100
PO,0,20170101,20171231,07.01.03,D,,311,,,,,,,1,438728,Conservação ou Reparação,121030100
PO,0,20170101,20171231,07.01.03,D,,311,,,,,,,1,438728,Anos anteriores,121030100
PO,0,20170101,20171231,07.01.07,D,,311,,,,,,,1,37170,Hardware de Comunicações,121030100
PO,0,20170101,20171231,07.01.07,D,,311,,,,,,,1,93750,Anos anteriores,121030100
PO,0,20170101,20171231,07.01.08.00.00,D,,311,,,,,,,1,8718,Outros,121030100
PO,0,20170101,20171231,07.01.09,D,,311,,,,,,,1,213,Outros,121030100
PO,0,20170101,20171231,07.01.09,D,,311,,,,,,,1,214,Anos anteriores,121030100
PO,0,20170101,20171231,07.01.10,D,,311,,,,,,,1,950664,Outros,121030100
PO,0,20170101,20171231,07.01.10,D,,311,,,,,,,1,950664,Anos anteriores,121030100
PO,0,20170101,20171231,02.01.09,D,,311,,,,,,,1,90800,Medicamentos,121030100
PO,0,20170101,20171231,01.01.04,D,,311,,,,,,,1,91555,RB-RCIT,121030100
PO,0,20170101,20171231,02.02.20.A0.00,D,,311,,,,,,,1,113440,Serviços de Natureza Informática,121030100
PO,0,20170101,20171231,02.02.20.B0.00,D,,311,,,,,,,1,129608,Serviços de Natureza Informática,121030100
PO,0,20170101,20171231,07.01.07,D,,311,,,,,,,1,56580,Outros,121030100
PO,0,20170101,20171231,07.01.08.00.00,D,,311,,,,,,,1,28782,Outros,121030100
